Player,School,Conference,QBR
Dave Ragone,Louisville,CUSA,143.5
Jason Gesser,Washington State,Pac-10,136.4
Kurt Kittner,Illinois,Big Ten,135.9
Cody Pickett,Washington,Pac-10,124.9
Tavares Bolden,Toledo,MAC,147.3
Kyle McCann,Iowa,Big Ten,146.1
Eric Crouch,Nebraska,Big 12,124.3
Kevin Fant,Mississippi State,SEC,127.0
Jason Johnson,Arizona,Pac-10,135.2
John Welsh,Idaho,Sun Belt,147.3
Jonathan Smith,Oregon State,Pac-10,129.4
David Garrard,East Carolina,CUSA,130.2
Tyler Watts,Alabama,SEC,135.1
Joey Harrington,Oregon,Pac-10,143.8
Woodrow Dantzler,Clemson,ACC,135.2
David Priestley,Pitt,Big East,138.3
Seneca Wallace,Iowa State,Big 12,132.7
Brian Lindgren,Idaho,Sun Belt,128.8
David Neill,Nevada,WAC,127.1
Scott Hall,North Texas,Sun Belt,133.1
James MacPherson,Wake Forest,ACC,113.9
Asad Abdul-Khaliq,Minnesota,Big Ten,134.6
Marcus Arroyo,San Jose State,WAC,120.1
Zack Mills,Penn State,Big Ten,118.7
Eli Manning,Ole Miss,SEC,144.8
Carson Palmer,USC,Pac-10,124.2
Jeff Kelly,Southern Mississippi,CUSA,127.3
Chris Simms,Texas,Big 12,133.5
Shaun Hill,Maryland,ACC,128.2
Brian St. Pierre,Boston College,Big East,136.5
Wesley Phillips,UTEP,WAC,120.0
Grant Noel,Virginia Tech,Big East,130.0
Casey Printers,Texas Christian,CUSA,125.4
Antwaan Randle El,Indiana,Big Ten,120.1
Luke McCown,Louisiana Tech,WAC,132.6
Jose Fuentes,Utah State,Ind,129.0
Casey Bramlet,Wyoming,MWC,109.4
Charlie Frye,Akron,MAC,124.6
Philip Rivers,North Carolina State,ACC,134.8
Greg Zolman,Vanderbilt,SEC,119.1
Jason Thomas,UNLV,MWC,102.6
Lance Rice,Utah,MWC,124.2
K.C. Enzminger,New Mexico State,Sun Belt,110.7
Casey Kelly,New Mexico,MWC,105.9
Brock Nutter,Troy,Ind,120.3
Danny Wimprine,Memphis,CUSA,128.5
Zak Kustok,Northwestern,Big Ten,124.5
Phil Petty,South Carolina,SEC,122.0
Andy Sahm,Bowling Green State,MAC,126.1
Kliff Kingsbury,Texas Tech,Big 12,136.8
Patrick Ramsey,Tulane,CUSA,122.6
Talmadge Hill,Ball State,MAC,111.6
Bryson Spinner,Virginia,ACC,129.7
D. Bryant,Duke,ACC,103.0
Kyle Boller,California,Pac-10,110.2
Kelly Robinson,Houston,CUSA,116.0
Matt Schaub,Virginia,ACC,118.8
Joshua Cribbs,Kent State,MAC,118.2
Keith Boyea,Air Force,MWC,109.7
Bradlee Van Pelt,Colorado State,MWC,105.7
Marquel Blackwell,South Florida,Ind,119.3
John Navarre,Michigan,Big Ten,116.3
Aso Pogi,Oklahoma State,Big 12,120.6
David Page,SMU,WAC,112.9
Chris Finlen,Northern Illinois,MAC,110.3
Chad Jenkins,Army,CUSA,104.7
Jon Van Cleave,Louisiana,Sun Belt,113.1
Mark Farris,Texas A&M,Big 12,111.6
Mario Kinsey,Kansas,Big 12,94.6
Nate Hybl,Oklahoma,Big 12,113.1
Brandon Hance,Purdue,Big Ten,105.0
Josh Blankenship,Tulsa,WAC,106.9
Joe Freedy,Buffalo,MAC,98.2
Kainoa Akina,Eastern Michigan,MAC,108.8
