Player,School,Conference,QBR
Baker Mayfield,Oklahoma,Big 12,173.3
Kevin Hogan,Stanford,Pac-12,171.0
Brandon Allen,Arkansas,SEC,166.5
Nick Arbuckle,Georgia State,Sun Belt,152.7
Jeff Driskel,Louisiana Tech,CUSA,154.1
Trevone Boykin,Texas Christian,Big 12,161.6
Zach Terrell,Western Michigan,MAC,162.5
Jared Goff,California,Pac-12,161.2
Dane Evans,Tulsa,American,151.6
Mason Rudolph,Oklahoma State,Big 12,149.1
Chad Kelly,Ole Miss,SEC,155.9
Gunner Kiel,Cincinnati,American,151.9
Matt Johnson,Bowling Green State,MAC,164.2
Nate Sudfeld,Indiana,Big Ten,151.0
Nick Mullens,Southern Mississippi,CUSA,155.2
Marquise Williams,North Carolina,ACC,150.4
DeShone Kizer,Notre Dame,Ind,150.1
Paxton Lynch,Memphis,American,157.5
Deshaun Watson,Clemson,ACC,156.3
Taylor Lamb,Appalachian State,Sun Belt,160.7
Brad Kaaya,Miami (FL),ACC,142.1
Quinton Flowers,South Florida,American,149.4
Brent Stockstill,Middle Tennessee State,CUSA,151.8
Greg Ward Jr.,Houston,American,148.6
Blake Decker,UNLV,MWC,137.6
Patrick Mahomes,Texas Tech,Big 12,147.2
Anu Solomon,Arizona,Pac-12,147.1
Dak Prescott,Mississippi State,SEC,151.0
Jake Browning,Washington,Pac-12,139.3
Cameron Coffman,Wyoming,MWC,147.0
Cooper Rush,Central Michigan,MAC,144.8
Cody Kessler,USC,Pac-12,151.7
Jake Coker,Alabama,SEC,147.0
Brett Rypien,Boise State,MWC,141.0
Skyler Howard,West Virginia,Big 12,134.7
Jake Rudock,Michigan,Big Ten,141.5
C.J. Beathard,Iowa,Big Ten,139.5
Kyle Allen,Texas A&M,SEC,137.0
Brandon Harris,LSU,SEC,130.6
Connor Cook,Michigan State,Big Ten,136.6
Nick Stevens,Colorado State,MWC,138.8
Greyson Lambert,Georgia,SEC,141.5
Tanner Mangum,Brigham Young,Ind,136.0
Matt Linehan,Idaho,Sun Belt,135.0
John Wolford,Wake Forest,ACC,127.7
Josh Rosen,UCLA,Pac-12,134.3
Tommy Armstrong Jr,Nebraska,Big Ten,128.6
Phillip Ely,Toledo,MAC,131.8
Driphus Jackson,Rice,CUSA,135.3
Bryant Shirreffs,Connecticut,American,127.7
Perry Orth,South Carolina,SEC,125.1
Lamar Jackson,Louisville,ACC,126.8
Justin Thomas,Georgia Tech,ACC,119.1
Mike Bercovici,Arizona State,Pac-12,136.1
Joel Stave,Wisconsin,Big Ten,125.7
Nathan Peterman,Pitt,ACC,139.0
Chris Laviano,Rutgers,Big Ten,131.8
Kenny Potter,San Jose State,MWC,142.3
Fredi Knighten,Arkansas State,Sun Belt,132.9
Derrius Vick,Ohio,MAC,133.4
Brandon Silvers,Troy,Sun Belt,137.5
Thomas Woodson,Akron,MAC,123.1
Luke Falk,Washington State,Pac-12,145.9
Blake Kemp,East Carolina,American,137.5
Treon Harris,Florida,SEC,118.1
Matt Johns,Virginia,ACC,127.8
Christian Hackenberg,Penn State,Big Ten,123.9
Sefo Liufau,Colorado,Pac-12,125.7
Cody Clements,South Alabama,Sun Belt,115.7
Brooks Haack,Louisiana,Sun Belt,121.2
P.J. Walker,Temple,American,125.3
Chase Litton,Marshall,CUSA,132.8
Jacoby Brissett,North Carolina State,ACC,130.3
Joshua Dobbs,Tennessee,SEC,127.0
Matt Davis,SMU,American,122.2
Travis Wilson,Utah,Pac-12,125.4
Joe Hubener,Kansas State,Big 12,107.3
Joe Licata,Buffalo,MAC,123.0
Mitch Leidner,Minnesota,Big Ten,121.2
Tyler Jones,Texas State,Sun Belt,120.6
Brogan Roback,Eastern Michigan,MAC,125.3
Patrick Towles,Kentucky,SEC,112.0
Tyler Stewart,Nevada,MWC,123.0
Jaquez Johnson,Florida Atlantic,CUSA,115.9
Alex McGough,Florida International,CUSA,131.4
Dalton Sturm,UTSA,CUSA,126.6
Joel Lanning,Iowa State,Big 12,123.3
Billy Bahl,Miami (OH),MAC,98.5
Blake Frohnapfel,Massachusetts,MAC,114.0
Thomas Sirk,Duke,ACC,119.0
Garrett Smith,Louisiana-Monroe,Sun Belt,118.5
Tanner Lee,Tulane,American,109.8
Riley Neal,Ball State,MAC,117.6
Wes Lunt,Illinois,Big Ten,111.5
Johnny McCrary,Vanderbilt,SEC,101.3
Perry Hills,Maryland,Big Ten,96.9
Ryan Willis,Kansas,Big 12,99.9
Justin Holman,UCF,American,95.0
David Blough,Purdue,Big Ten,108.6
Shuler Bentley,Old Dominion,CUSA,107.0
Clayton Thorson,Northwestern,Big Ten,95.9
Drew Lock,Missouri,SEC,90.5
Damarcus Smith,North Texas,CUSA,94.9
Lee McNeill,Charlotte,CUSA,83.1
Baker Mayfield,Oklahoma,Big 12,196.4
Mike White,Western Kentucky,CUSA,181.4
Logan Woodside,Toledo,MAC,183.3
Nick Stevens,Colorado State,MWC,171.3
Zach Terrell,Western Michigan,MAC,175.2
Ryan Higgins,Louisiana Tech,CUSA,168.6
Brett Rypien,Boise State,MWC,155.7
Trace McSorley,Penn State,Big Ten,156.9
Nathan Peterman,Pitt,ACC,163.4
Mason Rudolph,Oklahoma State,Big 12,158.9
Jake Browning,Washington,Pac-12,167.5
Lamar Jackson,Louisville,ACC,148.8
Austin Allen,Arkansas,SEC,146.0
Josh Allen,Wyoming,MWC,144.9
Patrick Mahomes,Texas Tech,Big 12,157.0
Nick Mullens,Southern Mississippi,CUSA,149.8
Quinton Flowers,South Florida,American,153.6
Mitch Trubisky,North Carolina,ACC,157.9
Jerod Evans,Virginia Tech,ACC,153.1
Brad Kaaya,Miami (FL),ACC,150.3
Deondre Francois,Florida State,ACC,142.1
Sam Darnold,USC,Pac-12,161.1
Chad Kelly,Ole Miss,SEC,147.4
Riley Ferguson,Memphis,American,152.6
P.J. Walker,Temple,American,140.1
Joshua Dobbs,Tennessee,SEC,150.6
David Washington,Old Dominion,CUSA,156.6
Skyler Howard,West Virginia,Big 12,146.6
DeShone Kizer,Notre Dame,Ind,145.6
Sean White,Auburn,SEC,143.1
Justice Hansen,Arkansas State,Sun Belt,138.9
Jacob Park,Iowa State,Big 12,139.1
Deshaun Watson,Clemson,ACC,151.1
Danny Etling,LSU,SEC,135.6
Christian Chapman,San Diego State,MWC,149.2
Drew Lock,Missouri,SEC,133.3
Brent Stockstill,Middle Tennessee State,CUSA,150.2
Dallas Davis,South Alabama,Sun Belt,125.7
Zach Smith,Baylor,Big 12,139.3
Richard Lagow,Indiana,Big Ten,128.8
Dane Evans,Tulsa,American,142.9
Matt Linehan,Idaho,Sun Belt,136.7
Wilton Speight,Michigan,Big Ten,139.8
Stephen Johnson,Kentucky,SEC,130.9
Greg Ward Jr.,Houston,American,141.7
Cooper Rush,Central Michigan,MAC,133.2
Ryan Finley,North Carolina State,ACC,135.2
Shane Buechele,Texas,Big 12,136.0
Eric Dungey,Syracuse,ACC,138.2
Philip Nelson,East Carolina,American,141.5
Manny Wilkins,Arizona State,Pac-12,133.2
Tyler O'Connor,Michigan State,Big Ten,135.2
Dru Brown,Hawaii,MWC,139.3
Jason Driskel,Florida Atlantic,CUSA,125.6
Sefo Liufau,Colorado,Pac-12,132.6
Kenny Potter,San Jose State,MWC,132.5
Tommy Armstrong Jr,Nebraska,Big Ten,123.9
Perry Hills,Maryland,Big Ten,140.4
Brandon Dawkins,Arizona,Pac-12,124.0
Kenny Hill,Texas Christian,Big 12,129.2
Jalen Hurts,Alabama,SEC,139.1
Andrew Ford,Massachusetts,Ind,138.0
Dalton Sturm,UTSA,CUSA,135.5
Brogan Roback,Eastern Michigan,MAC,131.9
Conner Manning,Georgia State,Sun Belt,123.1
Luke Falk,Washington State,Pac-12,145.6
Troy Williams,Utah,Pac-12,121.0
Mitch Leidner,Minnesota,Big Ten,116.5
Bryant Shirreffs,Connecticut,American,122.2
Chase Litton,Marshall,CUSA,137.9
Taylor Lamb,Appalachian State,Sun Belt,129.9
Davis Webb,California,Pac-12,135.6
Brandon Silvers,Troy,Sun Belt,133.0
Ben Hicks,SMU,American,121.5
Ryan Metz,UTEP,CUSA,141.1
Clayton Thorson,Northwestern,Big Ten,125.9
J.T. Barrett,Ohio State,Big Ten,135.3
Trevor Knight,Texas A&M,SEC,123.2
Nick Fitzgerald,Mississippi State,SEC,124.3
Anthony Jennings,Louisiana,Sun Belt,119.6
Daniel Jones,Duke,ACC,126.3
Jacob Eason,Georgia,SEC,120.2
Kent Myers,Utah State,MWC,118.8
Alex McGough,Florida International,CUSA,121.2
Jesse Ertz,Kansas State,Big 12,121.6
David Blough,Purdue,Big Ten,119.4
Tyler Stehling,Rice,CUSA,124.0
Tyler Rogers,New Mexico State,Sun Belt,116.7
Riley Neal,Ball State,MAC,120.4
Kyle Shurmur,Vanderbilt,SEC,110.9
Tyler Jones,Texas State,Sun Belt,120.4
James Morgan,Bowling Green State,MAC,116.8
C.J. Beathard,Iowa,Big Ten,122.3
Kurt Benkert,Virginia,ACC,120.6
Chason Virgil,Fresno State,MWC,111.4
Patrick Towles,Boston College,ACC,113.2
Taysom Hill,Brigham Young,Ind,116.9
Hasaan Klugh,Charlotte,CUSA,116.5
Mason Fine,North Texas,CUSA,113.7
McKenzie Milton,UCF,American,113.0
John Wolford,Wake Forest,ACC,108.6
Tyree Jackson,Buffalo,MAC,104.7
Glen Cuiellette,Tulane,American,96.2
Baker Mayfield,Oklahoma,Big 12,198.9
McKenzie Milton,UCF,American,179.3
Mason Rudolph,Oklahoma State,Big 12,170.6
Drew Lock,Missouri,SEC,165.7
Logan Woodside,Toledo,MAC,162.2
Riley Ferguson,Memphis,American,161.2
Will Grier,West Virginia,Big 12,162.7
Jake Fromm,Georgia,SEC,160.1
Danny Etling,LSU,SEC,153.0
Bryant Shirreffs,Connecticut,American,153.6
Sam Darnold,USC,Pac-12,148.1
Lamar Jackson,Louisville,ACC,146.6
John Wolford,Wake Forest,ACC,158.0
Jarrett Stidham,Auburn,SEC,151.0
Trace McSorley,Penn State,Big Ten,153.7
Caleb Evans,Louisiana-Monroe,Sun Belt,144.4
Nick Stevens,Colorado State,MWC,148.0
Josh Rosen,UCLA,Pac-12,147.0
Andrew Ford,Massachusetts,Ind,151.1
Brett Rypien,Boise State,MWC,143.8
Alex Hornibrook,Wisconsin,Big Ten,148.6
J.T. Barrett,Ohio State,Big Ten,160.1
Quinton Flowers,South Florida,American,142.1
Jalen Hurts,Alabama,SEC,150.2
Jonathan Banks,Tulane,American,139.1
Justice Hansen,Arkansas State,Sun Belt,149.6
Taylor Lamb,Appalachian State,Sun Belt,152.2
Jake Browning,Washington,Pac-12,152.1
Jason Driskel,Florida Atlantic,CUSA,149.4
Nic Shimonek,Texas Tech,Big 12,152.1
Manny Wilkins,Arizona State,Pac-12,142.6
Mason Fine,North Texas,CUSA,144.2
Kenny Hill,Texas Christian,Big 12,148.4
Steven Montez,Colorado,Pac-12,137.7
Alex McGough,Florida International,CUSA,142.9
Conner Manning,Georgia State,Sun Belt,137.8
Marcus McMaryion,Fresno State,MWC,137.7
Armani Rogers,UNLV,MWC,122.9
Tyler Huntley,Utah,Pac-12,138.1
Christian Chapman,San Diego State,MWC,138.6
Ben Hicks,SMU,American,140.0
Josh Jackson,Virginia Tech,ACC,135.2
Mike White,Western Kentucky,CUSA,140.8
Malik Rosier,Miami (FL),ACC,131.1
James Blackman,Florida State,ACC,135.0
Nathan Rourke,Ohio,MAC,132.9
Gus Ragland,Miami (OH),MAC,137.6
K.J. Costello,Stanford,Pac-12,139.5
Ryan Finley,North Carolina State,ACC,136.0
Brandon Silvers,Troy,Sun Belt,135.8
Kyle Shurmur,Vanderbilt,SEC,137.6
Dalton Sturm,UTSA,CUSA,137.4
Shane Morris,Central Michigan,MAC,129.1
Tanner Lee,Nebraska,Big Ten,129.4
J'mar Smith,Louisiana Tech,CUSA,127.5
Ty Gangi,Nevada,MWC,138.8
Stephen Johnson,Kentucky,SEC,127.7
Matt Linehan,Idaho,Sun Belt,139.0
Zach Smith,Baylor,Big 12,118.9
Chazz Surratt,North Carolina,ACC,131.2
Tyler Rogers,New Mexico State,Sun Belt,130.5
Brogan Roback,Eastern Michigan,MAC,127.3
Jake Bentley,South Carolina,SEC,130.7
Kwadra Griggs,Southern Mississippi,CUSA,133.8
Chase Litton,Marshall,CUSA,131.4
Kelly Bryant,Clemson,ACC,131.7
Gardner Minshew,East Carolina,American,129.1
Thomas Sirk,East Carolina,American,118.8
Nathan Stanley,Iowa,Big Ten,135.1
A.J. Erdely,UAB,CUSA,131.8
Jordan Love,Utah State,MWC,119.3
Dru Brown,Hawaii,MWC,129.0
Brandon Wimbush,Notre Dame,Ind,121.4
Montel Aaron,San Jose State,MWC,116.0
Luke Falk,Washington State,Pac-12,137.0
Brian Lewerke,Michigan State,Big Ten,127.7
Josh Allen,Wyoming,MWC,127.8
Ross Bowers,California,Pac-12,122.1
Clayton Thorson,Northwestern,Big Ten,121.3
Eric Dungey,Syracuse,ACC,122.8
Richard Lagow,Indiana,Big Ten,124.8
Darell Garretson,Oregon State,Pac-12,115.3
Kent Myers,Utah State,MWC,123.7
Elijah Sindelar,Purdue,Big Ten,124.2
Jordan Davis,Louisiana,Sun Belt,118.8
Kurt Benkert,Virginia,ACC,124.1
Marcus Childers,Northern Illinois,MAC,126.6
Feleipe Franks,Florida,SEC,113.3
Damian Williams,Texas State,Sun Belt,116.7
Nick Fitzgerald,Mississippi State,SEC,117.5
George Bollas,Kent State,MAC,94.7
Kellen Mond,Texas A&M,SEC,108.8
Hayden Moore,Cincinnati,American,118.4
Daniel Jones,Duke,ACC,112.0
Peyton Bender,Kansas,Big 12,108.5
Steven Williams,Old Dominion,CUSA,103.9
Max Bortenschlager,Maryland,Big Ten,109.1
Hasaan Klugh,Charlotte,CUSA,96.1
Anthony Brown,Boston College,ACC,103.5
